time,field_value,field_friendly_name
2025-09-03T13:51:13.570364Z,50.0,emotionCognitiveRatio
2025-09-03T13:51:13.580317Z,4.0,emotionEnergyBalance
2025-09-03T13:51:13.590719Z,14.0,energy
2025-09-03T13:51:13.601116Z,15.0,excitement
2025-09-03T13:51:13.610811Z,10.0,extremeEmotion
2025-09-03T13:51:13.622214Z,0.0,finalRiskLevel
2025-09-03T13:51:13.635070Z,15.0,hesitation
2025-09-03T13:51:13.646413Z,6.0,imagination
2025-09-03T13:51:13.658387Z,3.0,index
2025-09-03T13:51:13.670094Z,0.0,joy
2025-09-03T13:51:13.681558Z,30.0,mentalEffort
2025-09-03T13:51:13.692844Z,102.0,offlineLVA-cognitiveStress
2025-09-03T13:51:13.702844Z,0.0,offlineLVA-deceptionPatterns
2025-09-03T13:51:13.712672Z,136.0,offlineLVA-emotionStress
2025-09-03T13:51:13.723170Z,30.0,offlineLVA-frgStress
2025-09-03T13:51:13.733718Z,125.0,offlineLVA-globalStress
2025-09-03T13:51:13.744838Z,59.0,offlineLVA-riskProbability
2025-09-03T13:51:13.754021Z,155.0,offlineLVA-riskStress
2025-09-03T13:51:13.763456Z,202.0,offlineLVA-subjectiveEffortLevel
2025-09-03T13:51:13.772443Z,18.0,offlineLVA-value
2025-09-03T13:51:13.783201Z,-2.0,onlineLVA
2025-09-03T13:51:13.792552Z,818.0,overallCognitiveActivity
2025-09-03T13:51:13.801980Z,2.0,oz1
2025-09-03T13:51:13.811266Z,2.0,oz2
2025-09-03T13:51:13.820591Z,0.0,risk1
2025-09-03T13:51:13.830558Z,0.0,risk2
2025-09-03T13:51:13.840018Z,59.0,riskOZ
2025-09-03T13:51:13.850122Z,0.0,sad
2025-09-03T13:51:13.860510Z,8.0,stress
2025-09-03T13:51:13.870508Z,15.0,uncertainty
2025-09-03T13:51:13.880827Z,0.0,uneasy
2025-09-03T13:51:13.889990Z,15.0,voiceEnergy
2025-09-03T13:51:13.901201Z,6.0,EDP-Anticipation
2025-09-03T13:51:13.910672Z,74.0,EDP-Concentrated
2025-09-03T13:51:13.920422Z,33.0,EDP-Confident
2025-09-03T13:51:13.930126Z,8.0,EDP-Distress
2025-09-03T13:51:13.939604Z,36.0,EDP-Emotional
2025-09-03T13:51:13.950234Z,46.0,EDP-Energetic
2025-09-03T13:51:13.960692Z,35.0,EDP-Hesitation
2025-09-03T13:51:13.971260Z,0.0,EDP-Passionate
2025-09-03T13:51:13.982095Z,66.0,EDP-Stressful
2025-09-03T13:51:13.992827Z,62.0,EDP-Thoughtful
2025-09-03T13:51:14.003136Z,0.0,EDP-Uneasy
